t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
0.449,10.000,13,16,10.000,8,0,0.000000,5.235,0.000000,19
10.000,20.000,4,17,20.000,19,0,0.000000,6.499,0.000000,13
20.000,30.000,7,18,30.000,13,0,0.000000,5.636,0.000000,14
30.000,40.000,4,14,40.000,14,0,0.000000,6.556,0.000000,8
40.000,50.000,8,15,50.000,8,0,0.000000,5.157,0.000000,15
50.000,60.000,1,12,60.000,15,0,0.000000,5.560,0.000000,7
60.000,70.000,4,12,70.000,7,0,0.000000,3.231,0.000000,9
70.000,80.000,3,9,80.000,9,0,0.000000,3.625,0.000000,8
80.000,90.000,5,14,90.000,8,1,0.125000,2.677,0.000000,10
90.000,100.000,4,12,100.000,10,0,0.000000,4.033,0.000000,7
100.000,110.000,5,11,110.000,7,0,0.000000,3.792,0.000000,9
110.000,120.000,6,14,120.000,9,0,0.000000,5.055,0.000000,11
120.000,130.000,5,14,130.000,11,0,0.000000,3.110,0.000000,10
130.000,140.000,3,11,140.000,10,0,0.000000,4.977,0.000000,5
140.000,150.000,11,15,150.000,5,0,0.000000,4.133,0.000000,17
150.000,160.000,4,16,160.000,17,0,0.000000,4.981,0.000000,10
160.000,170.000,4,16,170.000,10,0,0.000000,4.786,0.000000,11
170.000,180.000,3,13,180.000,11,0,0.000000,6.050,0.000000,8
180.000,190.000,4,12,190.000,8,0,0.000000,4.169,0.000000,8
190.000,200.000,7,14,200.000,8,0,0.000000,2.873,0.000000,12
200.000,210.000,8,17,210.000,12,0,0.000000,5.759,0.000000,14
210.000,220.000,7,17,220.000,14,0,0.000000,4.920,0.000000,17
220.000,230.000,1,14,230.000,17,0,0.000000,5.211,0.000000,7
230.000,240.000,2,12,240.000,7,0,0.000000,4.481,0.000000,4
240.000,250.000,6,10,250.000,4,0,0.000000,4.549,0.000000,12
250.000,260.000,3,13,260.000,12,1,0.083333,2.951,0.000000,11
260.000,270.000,2,12,270.000,11,0,0.000000,2.193,0.000000,6
270.000,280.000,3,10,280.000,6,0,0.000000,3.782,0.000000,11
280.000,290.000,7,17,290.000,11,0,0.000000,1.638,0.000000,15
290.000,299.593,2,17,290.000,15,0,0.000000,5.512,0.000000,15
