t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
0.449,10.000,8,12,10.000,8,0,0.000000,5.628,0.000000,12
10.000,20.000,1,12,20.000,19,1,0.052632,2.614,0.000000,7
20.000,30.000,4,16,30.000,13,4,0.307692,0.751,0.000000,8
30.000,40.000,2,15,40.000,14,0,0.000000,1.636,0.000000,6
40.000,50.000,1,14,50.000,11,1,0.090909,1.801,0.000000,4
50.000,60.000,1,12,60.000,12,4,0.333333,1.937,0.000000,2
60.000,70.000,1,10,70.000,8,1,0.125000,1.847,0.000000,2
70.000,80.000,1,12,80.000,11,2,0.181818,2.427,0.000000,5
80.000,90.000,1,13,90.000,13,2,0.153846,1.664,0.000000,4
90.000,100.000,1,10,100.000,9,0,0.000000,3.216,0.000000,1
100.000,110.000,1,9,110.000,4,0,0.000000,1.780,0.000000,1
110.000,120.000,1,6,120.000,8,0,0.000000,3.912,0.000000,3
120.000,130.000,4,9,130.000,8,0,0.000000,2.972,0.000000,4
130.000,140.000,1,9,140.000,7,1,0.142857,1.714,0.000000,4
140.000,150.000,5,13,150.000,9,2,0.222222,1.180,0.000000,8
150.000,160.000,1,10,160.000,13,0,0.000000,2.981,0.000000,6
160.000,170.000,2,9,170.000,10,1,0.100000,2.412,0.000000,6
170.000,180.000,3,8,180.000,12,3,0.250000,0.790,0.000000,6
180.000,190.000,4,11,190.000,9,2,0.222222,1.567,0.000000,7
190.000,200.000,3,14,200.000,12,3,0.250000,1.604,0.000000,5
200.000,210.000,1,15,210.000,13,1,0.076923,1.773,0.000000,5
210.000,220.000,1,14,220.000,14,7,0.500000,0.610,0.000000,3
220.000,230.000,4,15,230.000,7,0,0.000000,4.722,0.000000,7
230.000,240.000,2,14,240.000,15,0,0.000000,2.038,0.000000,8
240.000,250.000,4,17,250.000,13,3,0.230769,0.993,0.000000,7
250.000,260.000,1,15,260.000,13,2,0.153846,1.953,0.000000,6
260.000,270.000,5,19,270.000,10,1,0.100000,1.678,0.000000,7
270.000,280.000,1,11,280.000,9,0,0.000000,5.152,0.000000,1
280.000,290.000,1,13,290.000,9,1,0.111111,2.521,0.000000,2
290.000,300.000,1,13,300.000,9,2,0.222222,1.625,0.000000,8
300.000,310.000,3,15,310.000,14,3,0.214286,0.888,0.000000,7
310.000,320.000,2,15,320.000,9,0,0.000000,2.405,0.000000,4
320.000,330.000,2,14,330.000,10,1,0.100000,2.235,0.000000,10
330.000,340.000,3,15,340.000,15,0,0.000000,1.853,0.000000,7
340.000,350.000,5,15,350.000,14,2,0.142857,3.957,0.000000,7
350.000,360.000,1,12,360.000,9,0,0.000000,2.346,0.000000,5
360.000,370.000,3,13,370.000,9,0,0.000000,2.992,0.000000,7
370.000,380.000,5,15,380.000,11,0,0.000000,2.409,0.000000,9
380.000,390.000,5,16,390.000,14,0,0.000000,4.191,0.000000,10
390.000,400.000,1,15,400.000,16,1,0.062500,3.606,0.000000,5
