t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
0.449,10.000,9,13,10.000,8,0,0.000000,5.628,0.000000,19
10.000,20.000,3,15,20.000,19,1,0.052632,3.427,0.000000,13
20.000,30.000,4,18,30.000,13,0,0.000000,2.741,0.000000,14
30.000,40.000,2,18,40.000,14,1,0.071429,2.132,0.000000,11
40.000,50.000,1,14,50.000,11,2,0.181818,2.487,0.000000,12
50.000,60.000,1,15,60.000,12,0,0.000000,3.383,0.000000,8
60.000,70.000,2,13,70.000,8,1,0.125000,1.509,0.000000,11
70.000,80.000,5,16,80.000,11,2,0.181818,1.501,0.000000,13
80.000,90.000,2,15,90.000,13,0,0.000000,5.468,0.000000,9
90.000,100.000,1,11,100.000,9,0,0.000000,3.367,0.000000,4
100.000,110.000,2,7,110.000,4,0,0.000000,3.817,0.000000,8
110.000,120.000,3,8,120.000,8,0,0.000000,3.221,0.000000,8
120.000,130.000,3,9,130.000,8,0,0.000000,4.394,0.000000,7
130.000,140.000,2,10,140.000,7,0,0.000000,2.223,0.000000,9
140.000,150.000,6,15,150.000,9,0,0.000000,3.804,0.000000,13
150.000,160.000,3,13,160.000,13,0,0.000000,5.902,0.000000,10
160.000,170.000,4,14,170.000,10,2,0.200000,2.029,0.000000,12
170.000,180.000,2,14,180.000,12,1,0.083333,2.713,0.000000,9
180.000,190.000,3,10,190.000,9,1,0.111111,3.508,0.000000,12
190.000,200.000,6,14,200.000,12,3,0.250000,1.545,0.000000,13
200.000,210.000,6,16,210.000,13,0,0.000000,3.829,0.000000,14
210.000,220.000,1,17,220.000,14,2,0.142857,3.465,0.000000,7
220.000,230.000,4,19,230.000,7,1,0.142857,1.497,0.000000,15
230.000,240.000,2,17,240.000,15,0,0.000000,2.094,0.000000,13
240.000,250.000,1,17,250.000,13,0,0.000000,3.565,0.000000,13
250.000,260.000,3,16,260.000,13,2,0.153846,1.594,0.000000,10
260.000,270.000,2,16,270.000,10,0,0.000000,2.265,0.000000,9
270.000,280.000,1,12,280.000,9,1,0.111111,1.406,0.000000,9
280.000,290.000,3,15,290.000,9,0,0.000000,4.306,0.000000,9
290.000,300.000,5,20,300.000,9,3,0.333333,2.013,0.000000,14
300.000,310.000,1,15,310.000,14,1,0.071429,3.327,0.000000,9
310.000,320.000,4,11,320.000,9,2,0.222222,2.171,0.000000,10
320.000,330.000,8,14,330.000,10,0,0.000000,4.208,0.000000,15
330.000,340.000,7,16,340.000,15,0,0.000000,4.555,0.000000,14
340.000,350.000,1,15,350.000,14,0,0.000000,2.666,0.000000,9
350.000,360.000,2,13,360.000,9,0,0.000000,3.260,0.000000,9
360.000,370.000,6,11,370.000,9,0,0.000000,3.804,0.000000,11
370.000,380.000,4,15,380.000,11,0,0.000000,2.496,0.000000,14
380.000,390.000,5,17,390.000,14,1,0.071429,3.787,0.000000,16
390.000,400.000,1,14,400.000,16,0,0.000000,3.416,0.000000,8
400.000,410.000,3,8,410.000,8,2,0.250000,4.092,0.000000,9
410.000,420.000,3,7,420.000,9,1,0.111111,2.369,0.000000,9
420.000,430.000,3,10,430.000,9,3,0.333333,1.637,0.000000,8
430.000,440.000,2,10,440.000,8,0,0.000000,2.793,0.000000,6
440.000,450.000,3,12,450.000,6,1,0.166667,1.596,0.000000,10
450.000,460.000,6,18,460.000,10,3,0.300000,1.741,0.000000,16
460.000,470.000,3,18,470.000,16,1,0.062500,3.634,0.000000,15
470.000,480.000,1,19,480.000,15,2,0.133333,1.820,0.000000,9
480.000,490.000,1,14,490.000,9,0,0.000000,4.379,0.000000,10
490.000,500.000,4,17,500.000,10,3,0.300000,0.888,0.000000,12
500.000,510.000,1,16,510.000,12,0,0.000000,2.737,0.000000,10
510.000,520.000,1,17,520.000,10,0,0.000000,2.902,0.000000,6
520.000,530.000,2,13,530.000,6,0,0.000000,4.519,0.000000,5
530.000,540.000,2,13,540.000,5,0,0.000000,2.583,0.000000,7
540.000,550.000,5,9,550.000,7,0,0.000000,4.786,0.000000,11
550.000,560.000,2,10,560.000,11,0,0.000000,2.606,0.000000,6
560.000,570.000,3,10,570.000,6,1,0.166667,2.177,0.000000,8
570.000,580.000,1,8,580.000,8,0,0.000000,2.465,0.000000,5
580.000,590.000,3,11,590.000,5,0,0.000000,1.693,0.000000,5
590.000,600.000,3,8,600.000,5,0,0.000000,2.320,0.000000,6
600.000,610.000,6,9,610.000,6,0,0.000000,4.735,0.000000,11
610.000,620.000,4,13,620.000,11,3,0.272727,2.174,0.000000,12
620.000,630.000,6,15,630.000,12,0,0.000000,4.424,0.000000,14
630.000,640.000,3,11,640.000,14,0,0.000000,3.430,0.000000,12
640.000,650.000,2,10,650.000,12,2,0.166667,3.717,0.000000,10
650.000,660.000,1,8,660.000,10,3,0.300000,0.555,0.000000,5
660.000,670.000,2,7,670.000,5,0,0.000000,4.587,0.000000,6
670.000,680.000,3,9,680.000,6,2,0.333333,1.038,0.000000,8
680.000,690.000,4,10,690.000,8,0,0.000000,1.836,0.000000,12
690.000,700.000,3,13,700.000,12,2,0.166667,1.481,0.000000,13
700.000,710.000,5,18,710.000,13,3,0.230769,1.280,0.000000,15
710.000,720.000,1,13,720.000,15,2,0.133333,3.277,0.000000,10
720.000,730.000,2,12,730.000,10,3,0.300000,0.972,0.000000,8
730.000,740.000,5,14,740.000,8,0,0.000000,2.793,0.000000,11
740.000,750.000,2,12,750.000,11,1,0.090909,2.406,0.000000,9
750.000,760.000,1,11,760.000,9,0,0.000000,2.628,0.000000,11
760.000,770.000,1,11,770.000,11,6,0.545455,0.552,0.000000,9
770.000,780.000,5,16,780.000,9,3,0.333333,0.969,0.000000,15
780.000,790.000,1,17,790.000,15,2,0.133333,2.515,0.000000,11
790.000,800.000,1,15,800.000,11,1,0.090909,2.792,0.000000,9
800.000,810.000,4,15,810.000,9,1,0.111111,1.709,0.000000,14
810.000,820.000,2,13,820.000,14,4,0.285714,1.803,0.000000,7
820.000,830.000,4,13,830.000,7,0,0.000000,1.773,0.000000,13
830.000,840.000,1,12,840.000,13,2,0.153846,2.112,0.000000,10
840.000,850.000,2,11,850.000,10,0,0.000000,2.350,0.000000,9
850.000,860.000,3,12,860.000,9,2,0.222222,0.841,0.000000,9
860.000,870.000,6,15,870.000,9,2,0.222222,2.875,0.000000,14
870.000,880.000,1,12,880.000,14,0,0.000000,4.384,0.000000,8
