t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
0.449,10.000,4,8,10.000,8,0,0.000000,5.628,NaN,0
10.000,20.000,1,8,20.000,19,12,0.631579,0.600,NaN,0
20.000,30.000,1,9,30.000,13,6,0.461538,0.680,NaN,0
30.000,40.000,1,9,40.000,14,6,0.428571,0.428,NaN,0
40.000,50.000,2,10,50.000,11,4,0.363636,0.679,NaN,0
50.000,60.000,1,10,60.000,12,5,0.416667,1.864,NaN,0
60.000,70.000,1,11,70.000,8,2,0.250000,0.831,NaN,0
70.000,80.000,1,12,80.000,11,6,0.545455,0.805,NaN,0
80.000,90.000,1,12,90.000,13,2,0.153846,1.859,NaN,0
90.000,100.000,1,12,100.000,9,3,0.333333,0.567,NaN,0
100.000,110.000,5,13,110.000,4,0,0.000000,3.136,NaN,0
110.000,120.000,6,13,120.000,8,0,0.000000,6.897,NaN,0
120.000,130.000,4,13,130.000,8,0,0.000000,6.029,NaN,0
130.000,140.000,5,13,140.000,7,0,0.000000,5.293,NaN,0
140.000,150.000,4,13,150.000,9,0,0.000000,5.812,NaN,0
150.000,160.000,2,13,160.000,13,0,0.000000,3.072,NaN,0
160.000,170.000,5,13,170.000,10,0,0.000000,2.505,NaN,0
170.000,180.000,2,13,180.000,12,3,0.250000,2.201,NaN,0
180.000,190.000,5,13,190.000,9,1,0.111111,2.075,NaN,0
190.000,200.000,1,13,200.000,12,3,0.250000,1.608,NaN,0
200.000,210.000,1,14,210.000,13,1,0.076923,2.583,NaN,0
210.000,220.000,5,15,220.000,14,1,0.071429,1.395,NaN,0
220.000,230.000,7,15,230.000,7,0,0.000000,4.964,NaN,0
230.000,240.000,4,15,240.000,15,2,0.133333,3.634,NaN,0
240.000,250.000,1,15,250.000,13,0,0.000000,1.181,NaN,0
250.000,260.000,1,16,260.000,13,1,0.076923,1.342,NaN,0
260.000,270.000,7,16,270.000,10,0,0.000000,3.215,NaN,0
270.000,280.000,6,16,280.000,9,0,0.000000,4.190,NaN,0
280.000,290.000,3,16,290.000,9,0,0.000000,6.329,NaN,0
290.000,300.000,4,16,300.000,9,0,0.000000,4.671,NaN,0
300.000,310.000,1,16,310.000,14,4,0.285714,1.196,NaN,0
310.000,320.000,3,16,320.000,9,3,0.333333,1.323,NaN,0
320.000,330.000,6,16,330.000,10,0,0.000000,2.895,NaN,0
330.000,340.000,10,16,340.000,15,0,0.000000,6.233,NaN,0
340.000,350.000,5,16,350.000,14,0,0.000000,6.331,NaN,0
350.000,360.000,4,16,360.000,9,0,0.000000,5.929,NaN,0
360.000,370.000,8,16,370.000,9,0,0.000000,7.601,NaN,0
370.000,380.000,11,16,380.000,11,0,0.000000,7.160,NaN,0
380.000,390.000,5,16,390.000,14,0,0.000000,7.656,NaN,0
390.000,400.000,7,16,400.000,16,1,0.062500,3.345,NaN,0
400.000,410.000,8,16,410.000,8,0,0.000000,8.571,NaN,0
410.000,420.000,8,16,420.000,9,0,0.000000,6.590,NaN,0
420.000,430.000,7,16,430.000,9,0,0.000000,8.495,NaN,0
430.000,440.000,6,16,440.000,8,0,0.000000,5.213,NaN,0
440.000,450.000,5,16,450.000,6,0,0.000000,6.454,NaN,0
450.000,460.000,4,16,460.000,10,0,0.000000,4.719,NaN,0
